Date,Close,High,Low,Open,Volume
2020-01-02,64.66641998291016,64.69030172094804,63.711107945584644,63.790715763606634,12728900
2020-01-03,63.44840621948242,64.10120014331213,63.24938360766009,63.52802012316184,12437400
2020-01-06,63.24938201904297,63.32899592072274,62.668239408383506,62.668239408383506,10059500
2020-01-07,62.70008087158203,63.12997041139856,62.67619913165128,63.12200780685908,10469100
2020-01-08,63.177738189697266,63.687235588510305,62.63639644424741,62.7080416689142,11292400
2020-01-09,63.75091552734375,64.46739804406288,63.47228512464388,64.46739804406288,12895900
2020-01-10,63.09014892578125,63.695179183935096,62.946852445526034,63.68721658123029,10062100
2020-01-13,64.20472717285156,64.26045328845404,62.891176078003156,63.28922149621836,16566300
2020-01-14,65.20777893066406,66.16308514748755,64.45945188081609,64.64254930342433,24971800
2020-01-15,64.67436218261719,65.31919933519318,64.26836057856049,65.06445072975755,16063600
2020-01-16,64.48332977294922,65.38290984127858,64.36391498455792,65.24757591548972,10426000
2020-01-17,64.57884979248047,64.80175411321599,64.33205765993425,64.61069413454086,12413100
2020-01-21,63.60763168334961,64.41168478289725,63.58374994032051,64.0693656275404,10522000
2020-01-22,63.766845703125,64.06936397017051,63.575785690146155,63.8464535357255,8045600
2020-01-23,63.52801513671875,63.75091947267344,62.827451710932415,63.35287428027216,11618200
2020-01-24,62.429386138916016,63.42449879507198,61.8084368132644,63.38469793303713,15036100
2020-01-27,61.068092346191406,61.29895928532931,60.3834541332135,60.70985410451841,15859600
2020-01-28,61.49000930786133,62.19852914560129,61.12380852111715,61.46612757211293,10960200
2020-01-29,60.885009765625,62.01545692290232,60.82928366839835,61.72886383039693,9478900
2020-01-30,61.641273498535156,61.72884391931473,60.104818943521494,60.29587891900096,12498200
2020-01-31,59.62985610961914,61.04827621372006,59.229171704465806,60.87197409721918,17101200
2020-02-03,60.206825256347656,61.07230487695135,59.862236487808644,59.862236487808644,11096500
2020-02-04,61.3046989440918,61.92175008645973,61.24860338569471,61.505041097503856,12173200
2020-02-05,63.18791961669922,63.29210145872717,62.35449545026498,62.44264649476961,13070400
2020-02-06,63.284088134765625,63.997305798989665,62.827308213701265,63.94922563275912,12826400
2020-02-07,63.059696197509766,63.348189378541136,62.5548300737263,62.61092563037367,8341700
2020-02-10,62.89142990112305,63.09978139961855,62.54684105181543,62.57088113902959,8418300
2020-02-11,63.3802375793457,63.74887250364686,63.01962416664908,63.10777519890061,9437200
2020-02-12,63.57258605957031,64.72655293211504,63.548545974677914,64.02936601440143,9484100
2020-02-13,63.308135986328125,63.532518274881696,63.00361803957096,63.21998492811653,8946200
2020-02-14,63.13984298706055,63.380249937749156,62.86737443953027,63.21997863729008,9056600
2020-02-18,62.17018127441406,63.19593216719196,62.11408571352645,62.99559000488511,10343500
2020-02-19,62.546844482421875,62.81930697107208,62.20225561421404,62.40259783726605,9145200
