Date,Close,High,Low,Open,Volume
2020-01-02,58.6265754699707,59.05072343406098,58.1553007533239,58.43806486420383,6647900
2020-01-03,57.693458557128906,58.18358476703579,57.08080349140126,57.20333234722202,5415200
2020-01-06,56.44929504394531,56.98654802901802,55.893190635382524,56.41159219696514,8586000
2020-01-07,58.07988739013672,58.53231062680733,56.68491484485059,56.80744726172188,7970400
2020-01-08,58.042198181152344,58.62657784673414,57.731155129695985,58.15530311098152,4364400
2020-01-09,58.409793853759766,59.23923482764256,57.693454217948876,58.626579807993295,5713500
2020-01-10,57.93851852416992,59.10727788277141,57.684029729424196,58.93761868627427,4456100
2020-01-13,58.25898742675781,58.39094378495338,57.81598799949464,57.9479443576902,4111100
2020-01-14,58.76795959472656,59.89901970821377,58.51347439506735,58.52289830798247,7998000
2020-01-15,58.37208938598633,58.78680986138445,57.82540896358158,58.72083168565159,6314100
2020-01-16,59.578556060791016,59.59740748321426,58.88107140883682,58.99417634783511,5733800
2020-01-17,59.239227294921875,60.144077435389704,58.937611779946124,60.125226016261145,6327800
2020-01-21,59.569129943847656,60.21948781345716,59.05072843077855,59.13555803077466,5777400
2020-01-22,60.219486236572266,60.88869551038402,59.964997443247874,60.040403128177005,5598700
2020-01-23,60.219486236572266,60.56823213605807,59.503150207450275,60.44569610027775,6540700
2020-01-24,58.43806838989258,61.19973868370336,58.070474664016906,61.077209838772106,8007500
2020-01-27,55.65754699707031,56.97711772915038,55.44076104454334,56.50584298134193,9350600
2020-01-28,56.7320556640625,56.882863447028576,55.53501731371999,56.32675907317719,6228100
2020-01-29,56.38331985473633,57.175061705672654,56.07228033948005,56.61895726756808,6515300
2020-01-30,56.78861999511719,58.46635732738711,56.006302010403225,58.004509983253875,9656100
2020-01-31,54.658443450927734,56.411582384047094,54.224867977159846,56.38330705150121,10132200
2020-02-03,56.289058685302734,56.78860878210747,55.289954896152196,55.308806318084216,7847300
2020-02-04,59.39004135131836,59.9932760407895,57.68402908796091,57.88196361649283,12322100
2020-02-05,60.13465881347656,60.73789352810183,59.25808746995077,60.30431801516163,8252100
2020-02-06,59.559696197509766,60.473973875529566,59.4277398547892,60.34201034172766,4870600
2020-02-07,58.164730072021484,59.361768395033785,58.089327980030575,59.22981203739388,6093200
2020-02-10,59.305213928222656,59.342916771860764,57.57092626736243,57.57092626736243,5121100
2020-02-11,60.7473030090332,60.982940347611425,59.70107624599987,59.94613749608343,6203800
2020-02-12,61.61445999145508,61.90664801912687,60.90754790560531,61.199735933277104,11592200
2020-02-13,63.49958038330078,65.45065811309303,62.161154249111426,62.91519693904672,21742700
2020-02-14,63.00944900512695,63.9991291136549,62.726688396321734,63.58440492477327,8104000
2020-02-18,61.610069274902344,62.40430238815491,60.37143351912549,60.73073563451953,10208500
2020-02-19,63.73748779296875,64.0495038181494,62.65958867543774,62.877061385102294,8502600
2020-02-20,62.78251647949219,63.68075740852646,61.66680282131357,63.349826919605604,7535900
2020-02-21,60.768550872802734,62.52721817663535,60.16342241961828,62.31920989215742,9658100
2020-02-24,57.75234603881836,58.48039304677523,57.10939234278479,57.79962130328846,11223700
2020-02-25,55.653289794921875,58.8869654187876,55.29399130109077,58.54657775167092,9942500
2020-02-26,56.55153274536133,57.449773546113136,56.07877291049352,56.33406365414669,10851500
2020-02-27,53.894622802734375,55.31290235017475,53.327312426506786,54.083727463767374,15746200
2020-02-28,54.95361328125,55.01034577135281,51.13371578612822,51.23771994100866,14943900
2020-03-02,56.88247299194336,56.910837432725835,53.89463046483443,55.50201490182668,10795200
2020-03-03,54.87795639038086,58.035991880151975,54.424107432235836,56.70280943845383,14036600
2020-03-04,57.22285842895508,57.34577701223504,55.095438890103566,56.2016953190079,7925800
2020-03-05,55.90857696533203,57.14720537740776,55.085972286849106,55.36963106253076,9842500
2020-03-06,54.641578674316406,55.29398590133133,53.1854776213452,53.894617322963136,8958500
2020-03-09,49.23320007324219,52.315595662888896,49.16701399679616,49.93288609021968,10305900
2020-03-10,53.10984420776367,53.10984420776367,49.70597444914822,51.43627737447341,10107400
