Date,Close,High,Low,Open,Volume
2020-01-02,208.14659118652344,208.1565078732457,204.66392650956365,205.14018485188762,12077100
2020-01-03,207.04522705078125,208.76175248015903,205.3386183078235,205.59660355453667,11188400
2020-01-06,210.94464111328125,211.12323231415454,204.9119799307813,205.0905711316546,17058900
2020-01-07,211.40103149414062,212.9092004360152,210.1012340740953,211.16290991488245,14912400
2020-01-08,213.544189453125,214.55625145649813,210.95451162741892,211.34147428459448,13475000
2020-01-09,216.60025024414062,216.67962915565775,214.59597436327618,215.84615815471753,12642800
2020-01-10,216.36209106445312,218.1679270491792,215.72707497817117,217.49321394126716,12119400
2020-01-13,220.18212890625,220.24165930128555,217.50315514980076,217.89011785751035,14463400
2020-01-14,217.35430908203125,220.64846550559204,216.92766450065454,219.88445679338435,13288900
2020-01-15,219.4280548095703,219.95392686203348,218.425924417891,218.8922660704496,10036500
2020-01-16,220.043212890625,220.89651718671533,218.6739532866718,220.83698679349612,10015300
2020-01-17,220.4103240966797,220.55915007771634,218.81285962698286,220.30117999726025,15905900
2020-01-21,219.71578979492188,220.63854120844226,217.41384689413272,220.4301848234441,14275800
2020-01-22,219.59671020507812,221.0155683147243,219.5570131846815,220.5789919302248,12212800
2020-01-23,218.0488739013672,219.76541447669973,217.5626988854463,219.03117089962214,11195000
2020-01-24,216.24305725097656,220.05315424389215,214.4273043543575,219.08078905236238,11905800
2020-01-27,213.19692993164062,214.3776665299758,210.84538856048835,211.440722772415,13810700
2020-01-28,216.09420776367188,217.03682285882238,211.85746630853654,214.45706126995194,13413800
2020-01-29,221.4918212890625,222.45426962099896,216.74904184342662,219.7157657381559,33181300
2020-01-30,207.89854431152344,209.78374436679547,203.15576383227844,204.92190308321167,48775500
2020-01-31,200.33786010742188,207.0650673895748,199.49447245565628,206.8070821530458,31359900
2020-02-03,202.60009765625,203.54269754941683,200.92325424778556,201.85593745533228,15495600
2020-02-04,208.19618225097656,208.96019096490863,203.60222842171876,205.0111699219711,19628900
2020-02-05,208.47398376464844,211.07357834813965,207.08489088949517,210.85529016204745,12538200
2020-02-06,209.208251953125,209.54560095697394,207.7099996678324,208.83120592530642,10567500
2020-02-07,210.6767120361328,211.16290214252007,208.295390351353,208.66251967249352,12242500
2020-02-10,211.40103149414062,212.13527502346943,209.01972486168884,209.87302918064674,11856400
2020-02-11,205.57675170898438,209.21817404336107,204.90203854387963,208.5533927044946,25030800
2020-02-12,209.11895751953125,209.57538249088782,205.78511882521056,206.23162710979105,13813700
2020-02-13,211.48043823242188,212.6611750182289,207.5512651178017,207.88862929944682,15396600
2020-02-14,212.51229858398438,213.25645877349032,210.99421300859052,212.3337074056923,10741700
2020-02-18,216.1041259765625,216.28271715809083,211.73837703502883,211.88721815961387,15609200
2020-02-19,215.7965545654297,216.62009372079666,214.427294868557,216.29266139589325,12135100
2020-02-20,212.90919494628906,217.0665723300639,211.2918819422964,214.83409174221154,13109200
2020-02-21,208.54344177246094,212.57184160157027,207.2039625311857,211.8177495955409,14092300
