Date,Close,High,Low,Open,Volume
2020-01-02,435.3067932128906,436.17914210100014,431.8344672284993,436.17914210100014,560400
2020-01-03,430.6798400878906,433.3567866549964,428.926555449564,429.097616521683,337300
2020-01-06,431.04766845703125,431.70620410996935,426.3523361348503,427.77205976219625,411300
2020-01-07,433.8015441894531,436.0252078066067,430.08974830478274,430.08974830478274,453900
2020-01-08,433.6989440917969,436.2989213745688,429.54239957326774,434.2719491740232,726500
2020-01-09,438.8304748535156,440.30153776598434,436.69236756976903,439.49759752557657,477100
2020-01-10,438.04351806640625,440.66059041403605,436.52972950462123,440.03627236720945,484000
2020-01-13,447.3915100097656,447.68231907969727,438.9758473574164,438.9758473574164,651800
2020-01-14,443.29486083984375,449.0079461573652,441.75541546454997,444.85998886830777,923600
2020-01-15,453.5066833496094,454.6698154637278,443.4488948557629,443.4488948557629,1005100
2020-01-16,457.5603942871094,459.1939046891458,453.49794218829857,459.1939046891458,778100
2020-01-17,457.7657165527344,461.15253803272833,456.0466492606278,459.3222836480618,669100
2020-01-21,452.5486755371094,456.8335022769052,451.36842198481196,455.0032479624137,775800
2020-01-22,459.1512145996094,461.5202826377222,454.43025249184274,455.4480058749532,778100
2020-01-23,463.49603271484375,465.2578526423433,455.7474389481963,456.3631963439708,804500
2020-01-24,459.1341552734375,468.12282264348454,455.6447075677229,465.61693700743757,751200
2020-01-27,447.9902648925781,453.5665335596967,444.3981903045601,446.4422583835221,516500
2020-01-28,453.2585754394531,456.50857980508,449.1363003871956,451.53956012039663,496600
2020-01-29,458.8348388671875,463.69267139267475,455.31119941418956,457.09014091101506,434700
2020-01-30,461.5716247558594,462.0591253683818,452.35196974100745,454.17366332445386,511000
2020-01-31,451.017822265625,461.0585401986969,449.1619371574388,460.0749779899257,646400
2020-02-03,453.35272216796875,459.39936977369956,453.11322616749317,453.4809788534894,503100
2020-02-04,457.7657165527344,462.11041744515865,454.52432570178837,460.2716021763701,851800
2020-02-05,464.8129577636719,467.5497782396481,459.67287806296366,465.12088856509445,943000
2020-02-06,474.3832702636719,474.87077084396003,462.9742219898797,468.7386201138826,824400
2020-02-07,475.2983093261719,475.5292443478428,469.9615387846827,470.38916529859057,712900
2020-02-10,479.882568359375,480.0108772245853,473.2116035792521,473.33135156004636,744100
2020-02-11,487.8707275390625,488.6147937843488,482.26026759959785,482.40564605428585,598900
2020-02-12,489.6154479980469,493.3187098231104,487.50299716376196,491.6338856873147,426300
2020-02-13,486.2541809082031,489.8462546737171,485.24498842845827,486.3739288805061,479700
2020-02-14,484.0218811035156,486.57051831932273,481.25943063938917,483.8508200647601,472400
2020-02-18,483.0556335449219,483.40626444367365,480.9175002096722,483.21813376642166,403200
2020-02-19,489.2647399902344,490.06011926004993,484.23584663225745,485.76673117947024,383200
2020-02-20,484.860107421875,490.0173090389914,479.4720229476337,487.49430177391906,475200
2020-02-21,476.3760986328125,483.0898163060472,474.6655919949927,481.8582494387962,494200
2020-02-24,451.5737609863281,462.95718078983765,451.274443199216,458.45853989459505,1063700
2020-02-25,432.7580871582031,454.25060265891904,429.739044629746,453.5065366060514,1064600
2020-02-26,434.87066650390625,442.98703844252617,432.3220021565459,434.61410094220514,959600
2020-02-27,406.9466247558594,428.3621482423384,406.9124073163513,423.89775114624535,1286000
2020-02-28,395.9908447265625,398.04344745730805,384.0258331318621,392.77508391822994,2039300
2020-03-02,417.3122863769531,417.51753881150256,394.7592616217752,399.52302864226095,1278200
2020-03-03,412.29193115234375,431.0305325674087,407.2544770958281,417.6543595122814,1589800
2020-03-04,426.82952880859375,428.94940726616505,413.03302771197633,420.6077490459803,1175000
2020-03-05,407.1473388671875,415.7044326138155,400.34818027630405,411.36987039355876,1022200
2020-03-06,388.1373291015625,395.5052148031052,379.6146856451361,389.5419731736155,1460300
2020-03-09,361.0786437988281,375.8058163159338,349.1348820355737,354.51217178493334,1478200
2020-03-10,395.5396728515625,395.55689822831283,374.1943278602671,380.3126764888419,1608300
2020-03-11,371.3850402832031,386.05188319003736,363.80171937519003,383.4752824046127,1263400
2020-03-12,332.82208251953125,361.93173376933333,330.417814353115,343.300871110171,1669700
2020-03-13,356.57171630859375,361.2768217508843,334.35600158510266,357.71782195927574,1579400
2020-03-16,307.8832092285156,324.5062213118894,305.06532209486386,317.5002539951742,1569300
2020-03-17,333.2873840332031,343.18016654063086,306.2545384810541,315.5785680449444,1609700
2020-03-18,321.74005126953125,322.78277825365916,279.18724403980445,307.788469415038,1969400
2020-03-19,342.421875,357.7522764163091,302.73003055684364,316.50930650061645,1593700
2020-03-20,305.6772155761719,346.76508022905017,302.4370562625155,345.5672721625358,1363100
2020-03-23,282.1516418457031,305.6771933155551,281.1692431174843,305.6771933155551,1422800
2020-03-24,320.30963134765625,321.4815882814499,298.4127558075513,301.00658231183724,1319600
2020-03-25,345.88604736328125,379.1578971304494,324.87677081480064,331.684528126595,1951000
2020-03-26,389.4212646484375,391.66179945392514,349.496763197239,351.6424926929882,1598200
2020-03-27,374.28912353515625,387.33591374755173,362.8968900043963,369.2910290335021,1044200
2020-03-30,392.3943176269531,393.1698803504532,374.4356132616439,377.44308513643506,1177300
2020-03-31,379.1407165527344,395.2208291506382,376.5727153309313,389.4126951416618,1389200
2020-04-01,352.9179992675781,365.8096585517213,346.3342745328901,360.3031118457486,1163700
2020-04-02,367.5589294433594,373.88411455060725,350.03109482391125,351.7459535260962,649300
2020-04-03,360.2685546875,373.11713357531227,354.20188245789006,367.71399334804875,612600
2020-04-06,387.3703918457031,390.35203915861456,373.47911008357926,380.89872501181617,957900
2020-04-07,381.855224609375,404.21744669170596,380.8728521117735,404.1571184221437,831100
2020-04-08,388.6199035644531,392.6442514435101,380.5712341046257,384.17331039831527,772300
2020-04-09,406.2425231933594,412.50737957700716,395.04847403062377,396.4014156085282,1154600
2020-04-13,389.84356689453125,405.22564414221307,387.1376837604854,404.0364356972266,689100
2020-04-14,394.70379638671875,403.2867417173212,393.36810643656634,402.252666810254,566300
2020-04-15,381.8121032714844,388.64571225520405,379.16654854166245,381.31227809409523,590400
